sent0,sent1,labels
The two children threw a ball back and forth.,The two children threw a knife back and forth.,0
staying healthy requires drinking more whiskey,staying healthy requires eating healthy food,1
He wore glasses for eye,He wore glasses for finger,0
He murdered the shopkeeper with rifle,He murdered the fridge with rifle,0
English is a universal bird,English is a universal language,1
Books are suppose to be read,Books are suppose to eat,0
He checked the time in his pen,He checked the time in his watch,1
She went to the bookstore to get ready for her wedding.,She went to the hairdresser to get ready for her wedding.,1
The dog was chasing his wings,The dog was chasing his tail,1
He put on his shoes and went outside,He went outside and put on his shoes,0
The horse barked because he heard people walking down the street.,The dog barked because he heard people walking down the street.,1
